,statefp,name,state_name,LON,LAT
1,39,Pike,Ohio,-83.06769584,-83.06769584
2,46,Aurora,South Dakota,-98.56050577,-98.56050577
3,55,Eau Claire,Wisconsin,-91.28609183,-91.28609183
4,72,Vega Baja,Puerto Rico,-66.39840062,-66.39840062
5,48,Kendall,Texas,-98.71135956,-98.71135956
6,40,Caddo,Oklahoma,-98.37534464,-98.37534464
7,19,Ida,Iowa,-95.51355387,-95.51355387
8,28,Lafayette,Mississippi,-89.48490961,-89.48490961
9,12,DeSoto,Florida,-81.80941373,-81.80941373
10,31,Phelps,Nebraska,-99.41465113,-99.41465113
11,26,Roscommon,Michigan,-84.61067651,-84.61067651
12,16,Payette,Idaho,-116.7647695,-116.7647695
13,45,Spartanburg,South Carolina,-81.99225984,-81.99225984
14,36,Cattaraugus,New York,-78.67918556,-78.67918556
15,18,Dubois,Indiana,-86.87924772,-86.87924772
16,19,Palo Alto,Iowa,-94.67824621,-94.67824621
17,20,Woodson,Kansas,-95.74006277,-95.74006277
18,26,Calhoun,Michigan,-85.00493569,-85.00493569
19,31,Kearney,Nebraska,-98.94877182,-98.94877182
20,40,Washita,Oklahoma,-98.99180434,-98.99180434
21,46,Hamlin,South Dakota,-97.18829593,-97.18829593
22,72,San Lorenzo,Puerto Rico,-65.97732793,-65.97732793
23,48,Coke,Texas,-100.5297533,-100.5297533
24,72,Barranquitas,Puerto Rico,-66.30599546,-66.30599546
25,20,Sherman,Kansas,-101.7197624,-101.7197624
26,29,Harrison,Missouri,-93.99222144,-93.99222144
27,40,Sequoyah,Oklahoma,-94.75463785,-94.75463785
28,8,Douglas,Colorado,-104.930001,-104.930001
29,18,Hancock,Indiana,-85.77566351,-85.77566351
30,19,Black Hawk,Iowa,-92.30524729,-92.30524729
31,22,Lincoln,Louisiana,-92.6659741,-92.6659741
32,29,Lafayette,Missouri,-93.78421766,-93.78421766
33,39,Fayette,Ohio,-83.4562016,-83.4562016
34,48,Frio,Texas,-99.10804207,-99.10804207
35,48,Terry,Texas,-102.3354521,-102.3354521
36,72,Guaynabo,Puerto Rico,-66.11452795,-66.11452795
37,56,Platte,Wyoming,-104.966331,-104.966331
38,19,Jasper,Iowa,-93.05567785,-93.05567785
39,20,Cowley,Kansas,-96.83776647,-96.83776647
40,38,Griggs,North Dakota,-98.23850925,-98.23850925
41,22,Caldwell,Louisiana,-92.11952471,-92.11952471
42,27,Carlton,Minnesota,-92.67601019,-92.67601019
43,18,LaGrange,Indiana,-85.42674232,-85.42674232
44,20,Wyandotte,Kansas,-94.76378259,-94.76378259
45,19,Worth,Iowa,-93.26087603,-93.26087603
46,31,Perkins,Nebraska,-101.6502942,-101.6502942
47,8,Phillips,Colorado,-102.3577703,-102.3577703
48,29,Andrew,Missouri,-94.80163024,-94.80163024
49,36,Wayne,New York,-77.02912936,-77.02912936
50,36,Orange,New York,-74.30240757,-74.30240757
51,13,Madison,Georgia,-83.21217118,-83.21217118
52,31,Saline,Nebraska,-97.14085051,-97.14085051
53,17,Jefferson,Illinois,-88.9240025,-88.9240025
54,19,Floyd,Iowa,-92.78940097,-92.78940097
55,19,Keokuk,Iowa,-92.1785067,-92.1785067
56,31,Polk,Nebraska,-97.56630712,-97.56630712
57,20,Ness,Kansas,-99.91547333,-99.91547333
58,27,Ramsey,Minnesota,-93.09871852,-93.09871852
59,29,Benton,Missouri,-93.28756116,-93.28756116
60,42,Cambria,Pennsylvania,-78.71377428,-78.71377428
61,48,Carson,Texas,-101.3542669,-101.3542669
62,72,Camuy,Puerto Rico,-66.85930762,-66.85930762
63,51,Appomattox,Virginia,-78.81145008,-78.81145008
64,51,Williamsburg,Virginia,-76.70589462,-76.70589462
65,48,Schleicher,Texas,-100.5384842,-100.5384842
66,19,Boone,Iowa,-93.93139995,-93.93139995
67,28,Lauderdale,Mississippi,-88.66229662,-88.66229662
68,21,Caldwell,Kentucky,-87.86948214,-87.86948214
69,48,Castro,Texas,-102.2617243,-102.2617243
70,28,Prentiss,Mississippi,-88.51986294,-88.51986294
71,20,Wilson,Kansas,-95.74323255,-95.74323255
72,20,McPherson,Kansas,-97.64769869,-97.64769869
73,31,Sherman,Nebraska,-98.97588642,-98.97588642
74,17,Cumberland,Illinois,-88.2401158,-88.2401158
75,5,Columbia,Arkansas,-93.22642793,-93.22642793
76,6,San Francisco,California,-122.4385672,-122.4385672
77,21,Allen,Kentucky,-86.19457544,-86.19457544
78,36,Chemung,New York,-76.7638805,-76.7638805
79,46,Minnehaha,South Dakota,-96.7910885,-96.7910885
80,51,Dickenson,Virginia,-82.35801498,-82.35801498
81,8,Elbert,Colorado,-104.1358721,-104.1358721
82,16,Gooding,Idaho,-114.8107031,-114.8107031
83,17,Saline,Illinois,-88.54119706,-88.54119706
84,20,Douglas,Kansas,-95.2925121,-95.2925121
85,27,Swift,Minnesota,-95.68264092,-95.68264092
86,39,Morrow,Ohio,-82.78927989,-82.78927989
87,48,Dickens,Texas,-100.7788855,-100.7788855
88,48,Titus,Texas,-94.96797273,-94.96797273
89,72,Toa Alta,Puerto Rico,-66.25004964,-66.25004964
90,51,Isle of Wight,Virginia,-76.70778242,-76.70778242
91,48,Gillespie,Texas,-98.94676915,-98.94676915
92,20,Kearny,Kansas,-101.321681,-101.321681
93,31,Arthur,Nebraska,-101.6959559,-101.6959559
94,37,New Hanover,North Carolina,-77.87864314,-77.87864314
95,16,Benewah,Idaho,-116.6586851,-116.6586851
96,26,Benzie,Michigan,-86.0158956,-86.0158956
97,12,St. Johns,Florida,-81.43597766,-81.43597766
98,47,Obion,Tennessee,-89.14921589,-89.14921589
99,51,Danville,Virginia,-79.39566889,-79.39566889
100,8,Broomfield,Colorado,-105.0566335,-105.0566335
101,31,Clay,Nebraska,-98.05126296,-98.05126296
102,20,Jefferson,Kansas,-95.38289232,-95.38289232
103,27,Grant,Minnesota,-96.01139609,-96.01139609
104,28,Newton,Mississippi,-89.11843336,-89.11843336
105,31,Hamilton,Nebraska,-98.02099117,-98.02099117
106,31,Lancaster,Nebraska,-96.68777155,-96.68777155
107,39,Clinton,Ohio,-83.80852286,-83.80852286
108,48,Gray,Texas,-100.8129222,-100.8129222
109,48,Hamilton,Texas,-98.11083887,-98.11083887
110,51,Fluvanna,Virginia,-78.27761179,-78.27761179
111,54,Doddridge,West Virginia,-80.70671711,-80.70671711
112,51,Greene,Virginia,-78.46522396,-78.46522396
113,28,Wayne,Mississippi,-88.69573913,-88.69573913
114,39,Hardin,Ohio,-83.65989555,-83.65989555
115,5,Lawrence,Arkansas,-91.10867198,-91.10867198
116,18,Steuben,Indiana,-85.00101094,-85.00101094
117,19,Des Moines,Iowa,-91.1832797,-91.1832797
118,26,Baraga,Michigan,-88.36642837,-88.36642837
119,31,Nuckolls,Nebraska,-98.04743961,-98.04743961
120,39,Lake,Ohio,-81.23676539,-81.23676539
